reason,object_type,object_kind,object_status,card_id,card_full_name,card_type,set_code,collector_number,ability_id,ability_kind,ability_name,ability_status
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,5YN,Mother Gothel - Withered and Wicked,character,002,116,6fh-1,static,WHAT HAVE YOU DONE?!,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,enters-with-damage,unsupported_engine_mechanic,5YN,Mother Gothel - Withered and Wicked,character,002,116,6fh-1,static,WHAT HAVE YOU DONE?!,unsupported_engine_mechanic
mapped_not_executable,ability,static,mapped_not_executable,EAX,Namaari - Morning Mist,character,002,189,1dg-2,static,BLADES,mapped_not_executable
mapped_not_executable,ability,static,mapped_not_executable,2qq,Namaari - Morning Mist,character,002,216,1dg-2,static,BLADES,mapped_not_executable
unsupported_cost,ability,activated,unsupported_cost,zX1,The Queen - Disguised Peddler,character,002,93,j1t-1,activated,A PERFECT DISGUISE,unsupported_cost
unsupported_cost,cost,discardCardType,unsupported_cost,zX1,The Queen - Disguised Peddler,character,002,93,j1t-1,activated,A PERFECT DISGUISE,unsupported_cost
unsupported_choice,ability,action,unsupported_choice,kL9,Falling Down the Rabbit Hole,action,002,162,ability,action,,unsupported_choice
unsupported_choice,effect,sequence,unsupported_choice,kL9,Falling Down the Rabbit Hole,action,002,162,ability,action,,unsupported_choice
unsupported_cost,ability,activated,unsupported_cost,DNe,Binding Contract,item,002,65,1ri-1,activated,FOR ALL ETERNITY,unsupported_cost
unsupported_cost,cost,exertCharacters,unsupported_cost,DNe,Binding Contract,item,002,65,1ri-1,activated,FOR ALL ETERNITY,unsupported_cost
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,ICh,Captain Hook - Master Swordsman,character,003,105,gip-2,static,MAN-TO-MAN,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,lose-keyword,unsupported_engine_mechanic,ICh,Captain Hook - Master Swordsman,character,003,105,gip-2,static,MAN-TO-MAN,unsupported_engine_mechanic
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,mkt,Captain Hook - Master Swordsman,character,003,214,gip-2,static,MAN-TO-MAN,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,lose-keyword,unsupported_engine_mechanic,mkt,Captain Hook - Master Swordsman,character,003,214,gip-2,static,MAN-TO-MAN,unsupported_engine_mechanic
unsupported_targeting,ability,triggered,unsupported_targeting,29m,Friar Tuck - Priest of Nottingham,character,003,73,f7m-1,triggered,YOU THIEVING SCOUNDREL,unsupported_targeting
unsupported_targeting,effect,discard,unsupported_targeting,29m,Friar Tuck - Priest of Nottingham,character,003,73,f7m-1,triggered,YOU THIEVING SCOUNDREL,unsupported_targeting
unsupported_targeting,target,selector,unsupported_targeting,29m,Friar Tuck - Priest of Nottingham,character,003,73,f7m-1,triggered,YOU THIEVING SCOUNDREL,unsupported_targeting
unsupported_engine_mechanic,ability,triggered,unsupported_engine_mechanic,IYc,Maui - Soaring Demigod,character,003,113,q08-2,triggered,IN MA BELLY,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,sequence,unsupported_engine_mechanic,IYc,Maui - Soaring Demigod,character,003,113,q08-2,triggered,IN MA BELLY,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,lose-keyword,unsupported_engine_mechanic,IYc,Maui - Soaring Demigod,character,003,113,q08-2,triggered,IN MA BELLY,unsupported_engine_mechanic
unsupported_targeting,ability,triggered,unsupported_targeting,xR2,Moana - Born Leader,character,003,116,cku-2,triggered,WELCOME TO MY BOAT,unsupported_targeting
unsupported_targeting,effect,ready,unsupported_targeting,xR2,Moana - Born Leader,character,003,116,cku-2,triggered,WELCOME TO MY BOAT,unsupported_targeting
unsupported_targeting,target,selector,unsupported_targeting,xR2,Moana - Born Leader,character,003,116,cku-2,triggered,WELCOME TO MY BOAT,unsupported_targeting
mapped_not_executable,ability,static,mapped_not_executable,f1i,Morph - Space Goo,character,003,81,vo5-1,static,MIMICRY,mapped_not_executable
mapped_not_executable,ability,static,mapped_not_executable,UdW,Morph - Space Goo,character,003,211,vo5-1,static,MIMICRY,mapped_not_executable
unsupported_engine_mechanic,ability,triggered,unsupported_engine_mechanic,UGT,Prince John - Phony King,character,003,83,m61-1,triggered,COLLECT TAXES,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,for-each-opponent,unsupported_engine_mechanic,UGT,Prince John - Phony King,character,003,83,m61-1,triggered,COLLECT TAXES,unsupported_engine_mechanic
mapped_not_executable,ability,static,mapped_not_executable,pa7,Slightly - Lost Boy,character,003,124,1pb-1,static,THE FOX,mapped_not_executable
mapped_not_executable,ability,static,mapped_not_executable,gsz,Treasure Guardian - Protector of the Cave,character,003,58,1bw-2,static,WHO DISTURBS MY SLUMBER?,mapped_not_executable
unsupported_engine_mechanic,ability,action,unsupported_engine_mechanic,V75,99 Puppies,action,003,24,ability,action,,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,create-triggered-ability,unsupported_engine_mechanic,V75,99 Puppies,action,003,24,ability,action,,unsupported_engine_mechanic
unsupported_targeting,ability,action,unsupported_targeting,DXq,And Then Along Came Zeus,action,003,195,ability,action,,unsupported_targeting
unsupported_targeting,effect,deal-damage,unsupported_targeting,DXq,And Then Along Came Zeus,action,003,195,ability,action,,unsupported_targeting
unsupported_targeting,target,alias,unsupported_targeting,DXq,And Then Along Came Zeus,action,003,195,ability,action,,unsupported_targeting
unsupported_targeting,ability,action,unsupported_targeting,8f3,And Then Along Came Zeus,action,003,222,ability,action,,unsupported_targeting
unsupported_targeting,effect,deal-damage,unsupported_targeting,8f3,And Then Along Came Zeus,action,003,222,ability,action,,unsupported_targeting
unsupported_targeting,target,alias,unsupported_targeting,8f3,And Then Along Came Zeus,action,003,222,ability,action,,unsupported_targeting
unsupported_targeting,ability,action,unsupported_targeting,GSJ,Ba-Boom!,action,003,196,ability,action,,unsupported_targeting
unsupported_targeting,effect,deal-damage,unsupported_targeting,GSJ,Ba-Boom!,action,003,196,ability,action,,unsupported_targeting
unsupported_targeting,target,alias,unsupported_targeting,GSJ,Ba-Boom!,action,003,196,ability,action,,unsupported_targeting
unsupported_targeting,ability,action,unsupported_targeting,uvL,Rise of the Titans,action,003,198,ability,action,,unsupported_targeting
unsupported_targeting,effect,banish,unsupported_targeting,uvL,Rise of the Titans,action,003,198,ability,action,,unsupported_targeting
unsupported_targeting,target,alias,unsupported_targeting,uvL,Rise of the Titans,action,003,198,ability,action,,unsupported_targeting
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,Bf0,Map of Treasure Planet,item,003,201,7x0-2,static,SHOW THE WAY,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,move-cost-reduction,unsupported_engine_mechanic,Bf0,Map of Treasure Planet,item,003,201,7x0-2,static,SHOW THE WAY,unsupported_engine_mechanic
unsupported_targeting,ability,triggered,unsupported_targeting,Ezk,Robin's Bow,item,003,98,1mp-2,triggered,A BIT OF A LARK,unsupported_targeting
unsupported_targeting,effect,optional,unsupported_targeting,Ezk,Robin's Bow,item,003,98,1mp-2,triggered,A BIT OF A LARK,unsupported_targeting
unsupported_targeting,effect,ready,unsupported_targeting,Ezk,Robin's Bow,item,003,98,1mp-2,triggered,A BIT OF A LARK,unsupported_targeting
unsupported_targeting,target,alias,unsupported_targeting,Ezk,Robin's Bow,item,003,98,1mp-2,triggered,A BIT OF A LARK,unsupported_targeting
unsupported_choice,ability,activated,unsupported_choice,geu,The Sorcerer's Hat,item,003,65,geu-1,activated,INCREDIBLE ENERGY,unsupported_choice
unsupported_choice,effect,sequence,unsupported_choice,geu,The Sorcerer's Hat,item,003,65,geu-1,activated,INCREDIBLE ENERGY,unsupported_choice
unsupported_choice,effect,name-a-card,unsupported_choice,geu,The Sorcerer's Hat,item,003,65,geu-1,activated,INCREDIBLE ENERGY,unsupported_choice
unsupported_choice,ability,activated,unsupported_choice,mE1,The Sorcerer's Hat,item,003,210,geu-1,activated,INCREDIBLE ENERGY,unsupported_choice
unsupported_choice,effect,sequence,unsupported_choice,mE1,The Sorcerer's Hat,item,003,210,geu-1,activated,INCREDIBLE ENERGY,unsupported_choice
unsupported_choice,effect,name-a-card,unsupported_choice,mE1,The Sorcerer's Hat,item,003,210,geu-1,activated,INCREDIBLE ENERGY,unsupported_choice
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,UV5,Jolly Roger - Hook's Ship,location,003,135,UV5-2,static,ALL HANDS ON DECK!,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,move-cost-reduction,unsupported_engine_mechanic,UV5,Jolly Roger - Hook's Ship,location,003,135,UV5-2,static,ALL HANDS ON DECK!,unsupported_engine_mechanic
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,Lt1,RLS Legacy - Solar Galleon,location,003,136,Lt1-2,static,HEAVE TOGETHER NOW,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,move-cost-reduction,unsupported_engine_mechanic,Lt1,RLS Legacy - Solar Galleon,location,003,136,Lt1-2,static,HEAVE TOGETHER NOW,unsupported_engine_mechanic
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,2t3,RLS Legacy - Solar Galleon,location,003,216,Lt1-2,static,HEAVE TOGETHER NOW,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,move-cost-reduction,unsupported_engine_mechanic,2t3,RLS Legacy - Solar Galleon,location,003,216,Lt1-2,static,HEAVE TOGETHER NOW,unsupported_engine_mechanic
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,GJL,The Sorcerer's Tower - Wondrous Workspace,location,003,68,GJL-1,static,BROOM CLOSET,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,move-cost-reduction,unsupported_engine_mechanic,GJL,The Sorcerer's Tower - Wondrous Workspace,location,003,68,GJL-1,static,BROOM CLOSET,unsupported_engine_mechanic
unsupported_cost,ability,keyword,unsupported_cost,KQ7,Aladdin - Brave Rescuer,character,004,171,Shift,keyword,,unsupported_cost
unsupported_cost,cost,discardCardType,unsupported_cost,KQ7,Aladdin - Brave Rescuer,character,004,171,Shift,keyword,,unsupported_cost
unsupported_cost,ability,activated,unsupported_cost,k2u,Aurora - Lore Guardian,character,004,140,k2u-3,activated,ROYAL INVENTORY,unsupported_cost
unsupported_cost,cost,exertItems,unsupported_cost,k2u,Aurora - Lore Guardian,character,004,140,k2u-3,activated,ROYAL INVENTORY,unsupported_cost
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,f3O,Beast - Wounded,character,004,103,hmw-1,static,THAT HURTS!,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,enters-with-damage,unsupported_engine_mechanic,f3O,Beast - Wounded,character,004,103,hmw-1,static,THAT HURTS!,unsupported_engine_mechanic
unsupported_choice,ability,activated,unsupported_choice,Hx7,Bruno Madrigal - Undetected Uncle,character,004,39,13f-2,activated,YOU JUST HAVE TO SEE IT,unsupported_choice
unsupported_choice,effect,sequence,unsupported_choice,Hx7,Bruno Madrigal - Undetected Uncle,character,004,39,13f-2,activated,YOU JUST HAVE TO SEE IT,unsupported_choice
unsupported_choice,effect,name-a-card,unsupported_choice,Hx7,Bruno Madrigal - Undetected Uncle,character,004,39,13f-2,activated,YOU JUST HAVE TO SEE IT,unsupported_choice
unsupported_cost,ability,keyword,unsupported_cost,Mnw,Diablo - Devoted Herald,character,004,70,mnw-1,keyword,,unsupported_cost
unsupported_cost,cost,discardCardType,unsupported_cost,Mnw,Diablo - Devoted Herald,character,004,70,mnw-1,keyword,,unsupported_cost
unsupported_cost,ability,keyword,unsupported_cost,03s,Diablo - Devoted Herald,character,004,211,mnw-1,keyword,,unsupported_cost
unsupported_cost,cost,discardCardType,unsupported_cost,03s,Diablo - Devoted Herald,character,004,211,mnw-1,keyword,,unsupported_cost
unsupported_cost,ability,activated,unsupported_cost,V9W,Hades - Double Dealer,character,004,74,i41-1,activated,HERE'S THE TRADE-OFF,unsupported_cost
unsupported_cost,cost,banishCharacter,unsupported_cost,V9W,Hades - Double Dealer,character,004,74,i41-1,activated,HERE'S THE TRADE-OFF,unsupported_cost
unsupported_cost,cost,banishCharacterTarget,unsupported_cost,V9W,Hades - Double Dealer,character,004,74,i41-1,activated,HERE'S THE TRADE-OFF,unsupported_cost
unsupported_cost,ability,keyword,unsupported_cost,4HP,Li Shang - Valorous General,character,004,112,4HP-1,keyword,,unsupported_cost
unsupported_cost,cost,discardCardType,unsupported_cost,4HP,Li Shang - Valorous General,character,004,112,4HP-1,keyword,,unsupported_cost
unsupported_targeting,ability,static,unsupported_targeting,HyV,Ling - Imperial Soldier,character,004,183,joz-1,static,FULL OF SPIRIT,unsupported_targeting
unsupported_targeting,effect,modify-stat,unsupported_targeting,HyV,Ling - Imperial Soldier,character,004,183,joz-1,static,FULL OF SPIRIT,unsupported_targeting
unsupported_targeting,target,alias,unsupported_targeting,HyV,Ling - Imperial Soldier,character,004,183,joz-1,static,FULL OF SPIRIT,unsupported_targeting
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,sfy,Mulan - Injured Soldier,character,004,116,1g0-1,static,BATTLE WOUND,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,enters-with-damage,unsupported_engine_mechanic,sfy,Mulan - Injured Soldier,character,004,116,1g0-1,static,BATTLE WOUND,unsupported_engine_mechanic
unsupported_cost,ability,keyword,unsupported_cost,fW1,Olaf - Carrot Enthusiast,character,004,149,fW1-1,keyword,,unsupported_cost
unsupported_cost,cost,discardCardType,unsupported_cost,fW1,Olaf - Carrot Enthusiast,character,004,149,fW1-1,keyword,,unsupported_cost
unsupported_targeting,ability,static,unsupported_targeting,Lpe,Philoctetes - No-Nonsense Instructor,character,004,190,1r4-1,static,YOU GOTTA STAY FOCUSED,unsupported_targeting
unsupported_targeting,effect,gain-keyword,unsupported_targeting,Lpe,Philoctetes - No-Nonsense Instructor,character,004,190,1r4-1,static,YOU GOTTA STAY FOCUSED,unsupported_targeting
unsupported_targeting,target,alias,unsupported_targeting,Lpe,Philoctetes - No-Nonsense Instructor,character,004,190,1r4-1,static,YOU GOTTA STAY FOCUSED,unsupported_targeting
mapped_not_executable,ability,static,mapped_not_executable,ATc,Piglet - Sturdy Swordsman,character,004,191,1bb-2,static,NOT SO SMALL ANYMORE,mapped_not_executable
mapped_not_executable,ability,static,mapped_not_executable,WaO,Piglet - Sturdy Swordsman,character,004,221,1bb-2,static,NOT SO SMALL ANYMORE,mapped_not_executable
unsupported_targeting,ability,static,unsupported_targeting,vCW,Prince Phillip - Warden of the Woods,character,004,88,1kf-1,static,SHINING BEACON,unsupported_targeting
unsupported_targeting,effect,gain-keyword,unsupported_targeting,vCW,Prince Phillip - Warden of the Woods,character,004,88,1kf-1,static,SHINING BEACON,unsupported_targeting
unsupported_targeting,target,alias,unsupported_targeting,vCW,Prince Phillip - Warden of the Woods,character,004,88,1kf-1,static,SHINING BEACON,unsupported_targeting
unsupported_cost,ability,activated,unsupported_cost,nit,Triton - Discerning King,character,004,159,rj9-1,activated,CONSIGN TO THE DEPTHS,unsupported_cost
unsupported_cost,cost,banishItem,unsupported_cost,nit,Triton - Discerning King,character,004,159,rj9-1,activated,CONSIGN TO THE DEPTHS,unsupported_cost
unsupported_targeting,ability,triggered,unsupported_targeting,PQN,Tuk Tuk - Lively Partner,character,004,127,PQN-2,triggered,ON A ROLL,unsupported_targeting
unsupported_targeting,effect,optional,unsupported_targeting,PQN,Tuk Tuk - Lively Partner,character,004,127,PQN-2,triggered,ON A ROLL,unsupported_targeting
unsupported_targeting,effect,sequence,unsupported_targeting,PQN,Tuk Tuk - Lively Partner,character,004,127,PQN-2,triggered,ON A ROLL,unsupported_targeting
unsupported_targeting,effect,modify-stat,unsupported_targeting,PQN,Tuk Tuk - Lively Partner,character,004,127,PQN-2,triggered,ON A ROLL,unsupported_targeting
unsupported_targeting,target,object,unsupported_targeting,PQN,Tuk Tuk - Lively Partner,character,004,127,PQN-2,triggered,ON A ROLL,unsupported_targeting
unsupported_cost,ability,keyword,unsupported_cost,cjn,Ursula - Eric's Bride,character,004,24,cjn-1,keyword,,unsupported_cost
unsupported_cost,cost,discardCardType,unsupported_cost,cjn,Ursula - Eric's Bride,character,004,24,cjn-1,keyword,,unsupported_cost
unsupported_choice,ability,action,unsupported_choice,zkw,Sign the Scroll,action,004,30,ggh-1,action,,unsupported_choice
unsupported_choice,effect,sequence,unsupported_choice,zkw,Sign the Scroll,action,004,30,ggh-1,action,,unsupported_choice
unsupported_choice,effect,optional,unsupported_choice,zkw,Sign the Scroll,action,004,30,ggh-1,action,,unsupported_choice
unsupported_choice,ability,action,unsupported_choice,SrO,Ursula’s Plan,action,004,63,ygy-1,action,,unsupported_choice
unsupported_choice,effect,sequence,unsupported_choice,SrO,Ursula’s Plan,action,004,63,ygy-1,action,,unsupported_choice
unsupported_choice,ability,action,unsupported_choice,zNr,Ursula’s Trickery,action,004,96,1sb-1,action,,unsupported_choice
unsupported_choice,effect,sequence,unsupported_choice,zNr,Ursula’s Trickery,action,004,96,1sb-1,action,,unsupported_choice
unsupported_choice,effect,optional,unsupported_choice,zNr,Ursula’s Trickery,action,004,96,1sb-1,action,,unsupported_choice
unsupported_targeting,ability,triggered,unsupported_targeting,DSK,Field of Ice,item,004,166,1kk-1,triggered,ICY DEFENSE,unsupported_targeting
unsupported_targeting,effect,gain-keyword,unsupported_targeting,DSK,Field of Ice,item,004,166,1kk-1,triggered,ICY DEFENSE,unsupported_targeting
unsupported_targeting,target,selector,unsupported_targeting,DSK,Field of Ice,item,004,166,1kk-1,triggered,ICY DEFENSE,unsupported_targeting
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,RqX,Hidden Inkcaster,item,004,98,RqX-2,static,UNEXPECTED TREASURE,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,grant-hand-inkability,unsupported_engine_mechanic,RqX,Hidden Inkcaster,item,004,98,RqX-2,static,UNEXPECTED TREASURE,unsupported_engine_mechanic
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,2w7,Record Player,item,004,32,2w7-2,static,HIT PARADE,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,property-modification,unsupported_engine_mechanic,2w7,Record Player,item,004,32,2w7-2,static,HIT PARADE,unsupported_engine_mechanic
mapped_not_executable,ability,replacement,mapped_not_executable,Kxi,Vision Slab,item,004,100,Kxi-2,replacement,TRAPPED!,mapped_not_executable
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,XhY,Atlantica - Concert Hall,location,004,33,6b5-1,static,UNDERWATER ACOUSTICS,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,property-modification,unsupported_engine_mechanic,XhY,Atlantica - Concert Hall,location,004,33,6b5-1,static,UNDERWATER ACOUSTICS,unsupported_engine_mechanic
unsupported_targeting,ability,activated,unsupported_targeting,n6q,Training Grounds - Impossible Pillar,location,004,136,n6q-1,activated,STRENGTH OF MIND,unsupported_targeting
unsupported_targeting,effect,modify-stat,unsupported_targeting,n6q,Training Grounds - Impossible Pillar,location,004,136,n6q-1,activated,STRENGTH OF MIND,unsupported_targeting
unsupported_targeting,target,selector,unsupported_targeting,n6q,Training Grounds - Impossible Pillar,location,004,136,n6q-1,activated,STRENGTH OF MIND,unsupported_targeting
unsupported_targeting,ability,triggered,unsupported_targeting,U6D,Ursula’s Lair - Eye of the Storm,location,004,68,U6D-1,triggered,SLIPPERY HALLS,unsupported_targeting
unsupported_targeting,effect,optional,unsupported_targeting,U6D,Ursula’s Lair - Eye of the Storm,location,004,68,U6D-1,triggered,SLIPPERY HALLS,unsupported_targeting
unsupported_targeting,effect,return-to-hand,unsupported_targeting,U6D,Ursula’s Lair - Eye of the Storm,location,004,68,U6D-1,triggered,SLIPPERY HALLS,unsupported_targeting
unsupported_targeting,target,selector,unsupported_targeting,U6D,Ursula’s Lair - Eye of the Storm,location,004,68,U6D-1,triggered,SLIPPERY HALLS,unsupported_targeting
unsupported_targeting,ability,static,unsupported_targeting,U6D,Ursula’s Lair - Eye of the Storm,location,004,68,U6D-2,static,SEAT OF POWER,unsupported_targeting
unsupported_targeting,effect,modify-stat,unsupported_targeting,U6D,Ursula’s Lair - Eye of the Storm,location,004,68,U6D-2,static,SEAT OF POWER,unsupported_targeting
unsupported_targeting,target,selector,unsupported_targeting,U6D,Ursula’s Lair - Eye of the Storm,location,004,68,U6D-2,static,SEAT OF POWER,unsupported_targeting
unsupported_targeting,ability,triggered,unsupported_targeting,oLN,Winter Camp - Medical Tent,location,004,170,129-1,triggered,HELP THE WOUNDED,unsupported_targeting
unsupported_targeting,effect,sequence,unsupported_targeting,oLN,Winter Camp - Medical Tent,location,004,170,129-1,triggered,HELP THE WOUNDED,unsupported_targeting
unsupported_targeting,effect,remove-damage,unsupported_targeting,oLN,Winter Camp - Medical Tent,location,004,170,129-1,triggered,HELP THE WOUNDED,unsupported_targeting
unsupported_targeting,target,selector,unsupported_targeting,oLN,Winter Camp - Medical Tent,location,004,170,129-1,triggered,HELP THE WOUNDED,unsupported_targeting
unsupported_choice,ability,triggered,unsupported_choice,Tqp,Anna - Diplomatic Queen,character,005,85,Tqp-1,triggered,ROYAL RESOLUTION,unsupported_choice
unsupported_choice,effect,optional,unsupported_choice,Tqp,Anna - Diplomatic Queen,character,005,85,Tqp-1,triggered,ROYAL RESOLUTION,unsupported_choice
unsupported_choice,effect,choice,unsupported_choice,Tqp,Anna - Diplomatic Queen,character,005,85,Tqp-1,triggered,ROYAL RESOLUTION,unsupported_choice
unsupported_choice,effect,pay-cost,unsupported_choice,Tqp,Anna - Diplomatic Queen,character,005,85,Tqp-1,triggered,ROYAL RESOLUTION,unsupported_choice
unsupported_choice,ability,triggered,unsupported_choice,lih,Daisy Duck - Donald's Date,character,005,16,czn-1,triggered,BIG PRIZE,unsupported_choice
unsupported_choice,effect,scry,unsupported_choice,lih,Daisy Duck - Donald's Date,character,005,16,czn-1,triggered,BIG PRIZE,unsupported_choice
unsupported_targeting,ability,static,unsupported_targeting,6WD,Kenai - Big Brother,character,005,5,a82-1,static,BROTHERS FOREVER,unsupported_targeting
unsupported_targeting,effect,restriction,unsupported_targeting,6WD,Kenai - Big Brother,character,005,5,a82-1,static,BROTHERS FOREVER,unsupported_targeting
unsupported_targeting,target,selector,unsupported_targeting,6WD,Kenai - Big Brother,character,005,5,a82-1,static,BROTHERS FOREVER,unsupported_targeting
unsupported_targeting,ability,triggered,unsupported_targeting,reF,King Candy - Sweet Abomination,character,005,154,q61-2,triggered,CHANGING THE CODE,unsupported_targeting
unsupported_targeting,effect,optional,unsupported_targeting,reF,King Candy - Sweet Abomination,character,005,154,q61-2,triggered,CHANGING THE CODE,unsupported_targeting
unsupported_targeting,effect,sequence,unsupported_targeting,reF,King Candy - Sweet Abomination,character,005,154,q61-2,triggered,CHANGING THE CODE,unsupported_targeting
unsupported_targeting,effect,put-on-bottom,unsupported_targeting,reF,King Candy - Sweet Abomination,character,005,154,q61-2,triggered,CHANGING THE CODE,unsupported_targeting
unsupported_targeting,target,selector,unsupported_targeting,reF,King Candy - Sweet Abomination,character,005,154,q61-2,triggered,CHANGING THE CODE,unsupported_targeting
unsupported_targeting,ability,triggered,unsupported_targeting,0cp,King Candy - Sweet Abomination,character,005,218,q61-2,triggered,CHANGING THE CODE,unsupported_targeting
unsupported_targeting,effect,optional,unsupported_targeting,0cp,King Candy - Sweet Abomination,character,005,218,q61-2,triggered,CHANGING THE CODE,unsupported_targeting
unsupported_targeting,effect,sequence,unsupported_targeting,0cp,King Candy - Sweet Abomination,character,005,218,q61-2,triggered,CHANGING THE CODE,unsupported_targeting
unsupported_targeting,effect,put-on-bottom,unsupported_targeting,0cp,King Candy - Sweet Abomination,character,005,218,q61-2,triggered,CHANGING THE CODE,unsupported_targeting
unsupported_targeting,target,selector,unsupported_targeting,0cp,King Candy - Sweet Abomination,character,005,218,q61-2,triggered,CHANGING THE CODE,unsupported_targeting
mapped_not_executable,ability,replacement,mapped_not_executable,4iY,Koda - Talkative Cub,character,005,1,4iY-1,replacement,TELL EVERYBODY,mapped_not_executable
mapped_not_executable,ability,replacement,mapped_not_executable,8Yk,Magica De Spell - Cruel Sorceress,character,005,53,8Yk-1,replacement,PLAYING WITH POWER,mapped_not_executable
unsupported_targeting,ability,static,unsupported_targeting,gdk,Merlin - Back from Bermuda,character,005,142,eka-1,static,LONG LIVE THE KING!,unsupported_targeting
unsupported_targeting,effect,gain-keyword,unsupported_targeting,gdk,Merlin - Back from Bermuda,character,005,142,eka-1,static,LONG LIVE THE KING!,unsupported_targeting
unsupported_targeting,target,selector,unsupported_targeting,gdk,Merlin - Back from Bermuda,character,005,142,eka-1,static,LONG LIVE THE KING!,unsupported_targeting
unsupported_engine_mechanic,ability,static,unsupported_engine_mechanic,284,Mirabel Madrigal - Family Gatherer,character,005,14,1v7-1,static,NOT WITHOUT MY FAMILY,unsupported_engine_mechanic
unsupported_engine_mechanic,effect,self-play-condition,unsupported_engine_mechanic,284,Mirabel Madrigal - Family Gatherer,character,005,14,1v7-1,static,NOT WITHOUT MY FAMILY,unsupported_engine_mechanic
